,,,,,,,,,Hs_Own,P-List,P_PLow,Ck_Finish,Frq_Cking,Red_Int,TL_Red_Int,Int_CK_Finsh,Frq_PP,PcVmoney,Ef_FdW_Env,Wcost.mney_Me,Fd_Nwsted,R_Fd_Resp,Fd_Nwst_HH,Wst_Guilt,RB_Fd_Nwst,FdW_Avd,R_FdW_Bdt,E_Lftover,Av-Price,hs2,Wst_Guilt_2,Red_Int_2,Frq_FdW,Self-Reported,Direct Weighed
HFIMI,HFS_ADLT,FDW,Gen_Hed,Age-Hed,Edu_Hed,Marital_Hed,HH_Size,Income_Hed,Hs_Own,P-List,P_PLow,Cook_fn,Cook_frq,Redc_Int,TL_Redc_int,Int_Cook_fn,Purch_frq,PV_Money,Eff_Env,Cost_mny,Fd_nt_sted,Redc_Resp,Fd_nt_hh,Fl_guilt,Rzd.b_Nw,FdW_Avd,Rdc_Bdt,Eat_lftv,Av-Price,hs2,Wst_Guilt_2,Red_Int_2,Frq_FdW,Self_rp,Direct_wd
0.7725273,0.134119323,1,0,52,9,0,7,1,1,2,2,2,3,3,3,3,5,2,1,1,3,3,1,3,3,1,3,1,6000,7,1,1,2,0.01,0.134
0.5702412,0.123965478,4,1,46,10,1,6,2,1,2,1,2,3,3,2,1,4,1,0,1,1,3,3,3,2,3,1,1,4000,6,1,1,2,0.034,0.186
0.6697452,0.103355741,1,1,49,13,1,8,1,1,2,1,2,3,4,2,3,4,2,1,1,3,3,1,3,3,1,2,1,3000,8,1,1,1,0.012,0.074
0.5362651,0.098578143,6,1,52,12,1,7,2,1,0,4,0,3,2,0,4,4,1,0,0,2,0,0,3,1,3,3,1,4000,7,1,0,2,0.07,0.116
0.6082994,0.16711522,1,0,60,7,0,4,2,1,2,1,2,3,4,4,1,3,1,2,0,4,1,4,4,1,4,4,1,2000,5,1,1,1,0.04,0.1062
0.6694825,0.174344401,6,1,45,9,0,4,1,1,2,1,1,3,3,1,4,5,1,1,1,2,4,3,1,4,2,2,1,2500,4,0,1,3,0.012,0.215
0.6025724,0.165541868,1,1,48,10,1,6,1,1,0,4,2,3,0,3,4,6,0,2,0,3,0,3,2,1,3,2,0,2500,4,0,0,3,0.016,0.087
0.7392445,0.39321516,1,1,28,11,1,3,1,0,0,1,2,3,3,4,2,4,0,1,0,2,1,2,1,1,3,2,1,1500,2,0,1,3,0.024,0.0594
0.7139042,0.166800047,5,1,52,10,1,6,1,1,2,2,1,3,3,0,3,4,0,1,1,3,2,2,2,3,3,2,1,2000,6,0,1,3,0.09,0.0254
0.5965611,0.142038357,1,1,50,10,1,5,1,1,2,1,2,3,3,3,3,5,1,2,1,3,3,3,2,1,2,4,1,5000,5,0,1,2,0.02,0.078
0.5591817,0.113654817,8,1,40,10,1,3,2,1,0,4,1,3,3,1,2,5,2,2,1,3,1,0,1,4,3,0,0,3500,6,0,1,2,0.006,0.0564
0.4903175,0.117864784,8,1,55,12,1,4,2,1,2,4,1,3,3,4,4,7,2,2,1,2,3,1,0,4,0,0,0,4000,5,0,1,2,0.003,0.196
0.5109863,0.121663405,2,0,55,13,0,5,2,1,2,0,2,3,4,2,3,5,2,1,1,3,4,1,4,4,0,1,0,2000,5,1,1,2,0.012,0.0504
0.496083,0.217580263,2,1,40,6,1,5,2,1,2,1,2,3,3,2,3,5,2,2,1,4,4,4,3,1,3,4,0,5000,3,1,1,1,0.057,0.1136
